 State-gov, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Protective-serv, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Black, Female, United-States, >50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, 11th, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Assoc-acdm, Married-spouse-absent, Other-service, White, Male, Iran, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, >50K
 Private, HS-grad, Married-spouse-absent, Sales, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, >50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Self-emp-not-inc, Masters, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, 5th-6th, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Separated, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Tech-support, White, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, 12th, Divorced, Craft-repair, White, Male, United-States, >50K
 Local-gov, 11th, Separated, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Farming-fishing, White, Male, United-States, <=50K
 Federal-gov, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, Dominican-Republic, <=50K
 ?, HS-grad, Widowed, ?, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Married-spouse-absent, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Farming-fishing, Black, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Protective-serv, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Assoc-voc, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, 9th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, HS-grad, Never-married, Farming-fishing, White, Male, Poland, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Black, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 1st-4th, Widowed, Priv-house-serv, Black, Female, United-States, <=50K
 Private, Assoc-voc, Separated, Craft-repair, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Never-married, Farming-fishing, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, 11th, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Transport-moving, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Separated, Craft-repair, White, Male, United-States, <=50K
 Private, Doctorate, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Transport-moving, White, Male, United-States, >50K
 Private, Some-college, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, 7th-8th, Divorced, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Amer-Indian-Eskimo, Male, United-States, <=50K
 Local-gov, HS-grad, Separated, Exec-managerial, Black, Male, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Self-emp-inc, Doctorate, Separated, Prof-specialty, White, Male, United-States, >50K
 State-gov, Some-college, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, Masters, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, 9th, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Federal-gov, Some-college, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Widowed, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 ?, 7th-8th, Never-married, ?, White, Male, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, White, Male, Dominican-Republic, <=50K
 State-gov, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Male, United-States, >50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Male, United-States, <=50K
 Private, Bachelors, Separated, Prof-specialty, White, Male, ?, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, ?, >50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, White, Female, United-States, >50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, >50K
 Self-emp-not-inc, Bachelors, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, White, Female, United-States, <=50K
 Private, 5th-6th, Separated, Farming-fishing, White, Male, Guatemala, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Local-gov, Assoc-voc, Divorced, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Other, Female, United-States, >50K
 Private, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, Masters, Never-married, Tech-support, White, Male, United-States, >50K
 Private, Assoc-acdm, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, 11th, Widowed, ?, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Farming-fishing, White, Male, United-States, <=50K
 Local-gov, Bachelors, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Local-gov, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Masters, Widowed, Prof-specialty, White, Female, United-States, >50K
 Private, Assoc-voc, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, >50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 9th, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Tech-support, White, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, 1st-4th, Married-spouse-absent, Priv-house-serv, White, Female, Guatemala, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, 10th, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 ?, Assoc-voc, Widowed, ?, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, Bachelors, Widowed, Exec-managerial, White, Male, United-States, >50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, HS-grad, Widowed, Protective-serv, White, Male, United-States, >50K
 Private, Assoc-voc, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, Japan, <=50K
 Private, HS-grad, Separated, Sales, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Black, Male, ?, <=50K
 Self-emp-inc, Masters, Married-spouse-absent, Sales, Asian-Pac-Islander, Male, India, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 ?, 7th-8th, Widowed, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 ?, Assoc-acdm, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, Iran, <=50K
 Private, Assoc-voc, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Black, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Sales, White, Male, United-States, >50K
 Private, Doctorate, Married-spouse-absent, Prof-specialty, Asian-Pac-Islander, Male, China, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Widowed, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Other-service, White, Male, United-States, <=50K
 Self-emp-inc, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, ?, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, Masters, Married-civ-spouse, Farming-fishing, White, Male, United-States, >50K
 Private, Assoc-voc, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, 11th, Never-married, Other-service, Asian-Pac-Islander, Male, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, >50K
 State-gov, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Other-service, White, Male, United-States, <=50K
 Local-gov, Bachelors, Divorced, Prof-specialty, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Other-service, White, Male, United-States, >50K
 ?, Bachelors, Widowed, ?, White, Female, United-States, >50K
 ?, HS-grad, Divorced, ?, Asian-Pac-Islander, Female, China, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Separated, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, White, Male, United-States, >50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 State-gov, HS-grad, Widowed, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 State-gov, Some-college, Separated, Adm-clerical, White, Male, United-States, <=50K
 ?, Assoc-voc, Widowed, ?, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Protective-serv, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Federal-gov, Some-college, Never-married, Armed-Forces, Black, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 ?, Assoc-acdm, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, >50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Masters, Married-spouse-absent, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Other, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, >50K
 Private, 5th-6th, Divorced, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Federal-gov, Assoc-voc, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Federal-gov, Some-college, Widowed, Adm-clerical, Black, Female, United-States, <=50K
 Private, Masters, Never-married, Other-service, White, Female, Poland, <=50K
