 Private, Some-college, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Priv-house-serv, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Protective-serv, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Preschool, Never-married, Other-service, White, Female, Mexico, <=50K
 Private, 9th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Tech-support, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, Mexico, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 5th-6th, Married-spouse-absent, Farming-fishing, White, Male, Mexico, <=50K
 Private, 9th, Never-married, Machine-op-inspct, White, Male, Mexico, <=50K
 Private, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, 11th, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, 5th-6th, Married-spouse-absent, Craft-repair, White, Male, Mexico, <=50K
 Private, 11th, Never-married, Priv-house-serv, White, Female, Mexico, <=50K
 Private, 10th, Never-married, Other-service, Amer-Indian-Eskimo, Male, Mexico, <=50K
 ?, HS-grad, Never-married, ?, Other, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, 5th-6th, Never-married, Handlers-cleaners, White, Male, Guatemala, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 7th-8th, Never-married, Handlers-cleaners, White, Male, Mexico, <=50K
 Private, 9th, Never-married, Machine-op-inspct, White, Female, Mexico, <=50K
 Private, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female, China, >50K
 Private, 11th, Never-married, Other-service, Black, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Protective-serv, Black, Male, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Male, Guatemala, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, Puerto-Rico, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, Peru, <=50K
 ?, Bachelors, Widowed, ?, White, Female, United-States, <=50K
 ?, 7th-8th, Never-married, ?, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, Jamaica, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, Mexico, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, Asian-Pac-Islander, Female, South, <=50K
 Private, Bachelors, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, India, <=50K
 Federal-gov, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Assoc-voc, Never-married, Prof-specialty, Asian-Pac-Islander, Male, United-States, <=50K
 State-gov, Some-college, Divorced, Protective-serv, White, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Other-service, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, 7th-8th, Never-married, Other-service, White, Male, Guatemala, <=50K
 Private, 12th, Never-married, Craft-repair, Other, Male, Guatemala, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, White, Female, Mexico, <=50K
 Local-gov, Some-college, Divorced, Other-service, White, Female, ?, >50K
 Private, Some-college, Never-married, Craft-repair, Asian-Pac-Islander, Female, Cambodia, <=50K
 Private, 5th-6th, Married-spouse-absent, Craft-repair, White, Male, Mexico, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, Dominican-Republic, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Handlers-cleaners, White, Female, Cuba, <=50K
 Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female, Vietnam, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Asian-Pac-Islander, Male, ?, <=50K
 Private, 7th-8th, Never-married, Prof-specialty, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, 10th, Divorced, Adm-clerical, White, Female, Germany, <=50K
 ?, Bachelors, Divorced, ?, Other, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, 9th, Separated, Handlers-cleaners, White, Male, El-Salvador, <=50K
 Private, 11th, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Protective-serv, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, ?, <=50K
 Private, Assoc-voc, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, Black, Male, United-States, <=50K
 Private, 10th, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, 10th, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Sales, Asian-Pac-Islander, Male, South, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, Philippines, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, India, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Masters, Married-spouse-absent, Prof-specialty, White, Male, ?, <=50K
 Private, HS-grad, Never-married, Other-service, Amer-Indian-Eskimo, Female, United-States, <=50K
 Local-gov, 9th, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, White, Male, El-Salvador, <=50K
 Self-emp-not-inc, 12th, Divorced, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, Jamaica, <=50K
 Private, 12th, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Federal-gov, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Preschool, Married-civ-spouse, Farming-fishing, White, Male, Mexico, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, 12th, Never-married, Sales, Black, Male, United-States, <=50K
 State-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 9th, Never-married, Handlers-cleaners, White, Male, Mexico, <=50K
 Local-gov, 9th, Separated, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Farming-fishing, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, Black, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 7th-8th, Divorced, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Prof-specialty, Asian-Pac-Islander, Female, South, <=50K
 Private, HS-grad, Widowed, Other-service, Asian-Pac-Islander, Female, South, <=50K
 Self-emp-not-inc, Assoc-voc, Married-civ-spouse, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, Black, Female, United-States, <=50K
 Private, 7th-8th, Never-married, Sales, White, Male, Guatemala, <=50K
 Private, HS-grad, Separated, Handlers-cleaners, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, Black, Male, Haiti, <=50K
 Private, 7th-8th, Never-married, Machine-op-inspct, White, Female, Mexico, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Priv-house-serv, White, Female, Mexico, <=50K
 Private, 7th-8th, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Married-civ-spouse, Sales, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, Mexico, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, Black, Male, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Priv-house-serv, White, Female, United-States, <=50K
 Private, 11th, Divorced, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Separated, Sales, Black, Male, United-States, <=50K
 Local-gov, HS-grad, Separated, Protective-serv, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, Nicaragua, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, Other, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Male, United-States, <=50K
 ?, Preschool, Married-spouse-absent, ?, White, Male, Mexico, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, White, Male, United-States, <=50K
 Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Male, United-States, >50K
 ?, Assoc-acdm, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Black, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, Philippines, <=50K
 Private, Bachelors, Never-married, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Priv-house-serv, Black, Female, Jamaica, <=50K
 Local-gov, HS-grad, Never-married, Craft-repair, Black, Female, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, 10th, Divorced, Craft-repair, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Male, El-Salvador, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, China, <=50K
 Private, Assoc-voc, Never-married, Other-service, Black, Male, United-States, <=50K
 ?, 7th-8th, Widowed, ?, White, Female, Poland, <=50K
 Private, Some-college, Married-civ-spouse, Sales, White, Male, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, Other, Male, United-States, <=50K
 ?, 10th, Widowed, ?, Asian-Pac-Islander, Female, China, <=50K
 Private, 11th, Separated, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 7th-8th, Widowed, Farming-fishing, White, Female, Guatemala, <=50K
 Private, HS-grad, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, 5th-6th, Never-married, Craft-repair, White, Male, Mexico, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Asian-Pac-Islander, Male, Vietnam, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Male, ?, <=50K
 Private, HS-grad, Divorced, Craft-repair, Other, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Local-gov, 5th-6th, Divorced, Other-service, Black, Female, Haiti, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 12th, Married-civ-spouse, Craft-repair, White, Male, Mexico, <=50K
 Private, Some-college, Separated, Adm-clerical, Black, Female, Jamaica, <=50K
 Private, 12th, Married-civ-spouse, Machine-op-inspct, Other, Male, Mexico, <=50K
 Private, 10th, Widowed, Other-service, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, 5th-6th, Never-married, Priv-house-serv, White, Female, El-Salvador, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Federal-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, Mexico, <=50K
 Private, HS-grad, Widowed, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Priv-house-serv, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Asian-Pac-Islander, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 7th-8th, Married-spouse-absent, Prof-specialty, White, Male, Puerto-Rico, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 ?, 11th, Married-civ-spouse, ?, White, Female, United-States, <=50K
 ?, HS-grad, Married-civ-spouse, ?, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male, Philippines, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Male, Puerto-Rico, <=50K
 Private, 5th-6th, Never-married, Other-service, White, Male, Mexico, <=50K
 Private, HS-grad, Widowed, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
 State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, Black, Male, ?, <=50K
 Private, 10th, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Sales, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 10th, Married-spouse-absent, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Transport-moving, White, Male, Mexico, <=50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, Some-college, Separated, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, China, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Asian-Pac-Islander, Male, Philippines, <=50K
 Private, 7th-8th, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 9th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Priv-house-serv, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Female, Jamaica, <=50K
 Self-emp-not-inc, HS-grad, Separated, Craft-repair, White, Male, United-States, <=50K
 ?, HS-grad, Separated, ?, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, White, Female, United-States, >50K
 Private, Bachelors, Married-spouse-absent, Other-service, Black, Female, Haiti, <=50K
 State-gov, Some-college, Married-spouse-absent, Other-service, Black, Male, Haiti, <=50K
 Private, 11th, Never-married, Farming-fishing, White, Female, Puerto-Rico, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Other, Male, Ecuador, <=50K
 ?, HS-grad, Never-married, ?, White, Male, Mexico, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, Black, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, 10th, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Asian-Pac-Islander, Male, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
 Private, 10th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 10th, Never-married, Sales, Black, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, Italy, <=50K
 Private, 9th, Married-spouse-absent, Other-service, White, Male, Mexico, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Male, Haiti, <=50K
 State-gov, Doctorate, Never-married, Prof-specialty, White, Female, United-States, >50K
