 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 10th, Never-married, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Exec-managerial, Black, Female, United-States, <=50K
 Private, 1st-4th, Married-spouse-absent, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Craft-repair, White, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, White, Female, France, <=50K
 Local-gov, HS-grad, Separated, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-spouse-absent, Handlers-cleaners, White, Male, United-States, <=50K
 ?, 5th-6th, Widowed, ?, Black, Female, United-States, <=50K
 ?, Assoc-voc, Widowed, ?, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Machine-op-inspct, White, Male, United-States, >50K
 Private, 11th, Divorced, Machine-op-inspct, Other, Female, Puerto-Rico, <=50K
 ?, HS-grad, Never-married, ?, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, 11th, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Assoc-voc, Divorced, Craft-repair, Black, Female, United-States, >50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, ?, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, 7th-8th, Separated, Other-service, White, Female, Mexico, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Divorced, Sales, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, 9th, Widowed, Priv-house-serv, Black, Female, United-States, <=50K
 Private, 9th, Married-spouse-absent, Handlers-cleaners, White, Male, El-Salvador, <=50K
 Self-emp-not-inc, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Local-gov, 10th, Separated, Other-service, Black, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female, Philippines, <=50K
 ?, 9th, Widowed, ?, White, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, >50K
 Local-gov, Some-college, Separated, Exec-managerial, Black, Male, United-States, <=50K
 Private, Bachelors, Widowed, Sales, White, Female, Cuba, <=50K
 Private, Doctorate, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Adm-clerical, White, Female, Honduras, <=50K
 Private, HS-grad, Separated, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Local-gov, HS-grad, Divorced, Protective-serv, White, Male, Portugal, <=50K
 Private, 10th, Separated, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, 11th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Transport-moving, White, Male, United-States, >50K
 Private, HS-grad, Separated, Machine-op-inspct, White, Female, United-States, <=50K
 Private, 5th-6th, Divorced, Other-service, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Divorced, ?, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Other-service, Amer-Indian-Eskimo, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Exec-managerial, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Farming-fishing, White, Male, United-States, <=50K
 Private, 7th-8th, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, 10th, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Divorced, Exec-managerial, White, Male, United-States, >50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Priv-house-serv, Black, Female, United-States, <=50K
 Private, Prof-school, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Private, Assoc-acdm, Separated, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, Black, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Divorced, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, Mexico, <=50K
 ?, Some-college, Divorced, ?, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Widowed, Sales, White, Female, Germany, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Transport-moving, Asian-Pac-Islander, Male, ?, <=50K
 Private, HS-grad, Widowed, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, England, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Federal-gov, Assoc-acdm, Divorced, Prof-specialty, Asian-Pac-Islander, Female, Philippines, >50K
 Self-emp-not-inc, 1st-4th, Widowed, Other-service, White, Female, El-Salvador, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, Japan, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Asian-Pac-Islander, Female, India, >50K
 Private, 11th, Never-married, Other-service, Black, Female, United-States, <=50K
 State-gov, Prof-school, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, Italy, <=50K
 Self-emp-inc, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, Canada, <=50K
 Private, HS-grad, Divorced, Sales, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, 10th, Never-married, Transport-moving, White, Male, United-States, >50K
 ?, HS-grad, Divorced, ?, Black, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, White, Female, United-States, <=50K
 Private, 11th, Divorced, Machine-op-inspct, Amer-Indian-Eskimo, Male, Germany, <=50K
 Self-emp-not-inc, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Widowed, Transport-moving, Black, Male, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Male, United-States, >50K
 Private, Some-college, Married-spouse-absent, Prof-specialty, Black, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Female, United-States, >50K
 Private, 10th, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, 12th, Divorced, Transport-moving, Black, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Male, Scotland, <=50K
 ?, HS-grad, Never-married, ?, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Other-service, Asian-Pac-Islander, Male, Philippines, <=50K
 ?, HS-grad, Separated, ?, White, Female, United-States, <=50K
 ?, HS-grad, Divorced, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Masters, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, 11th, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, HS-grad, Widowed, Farming-fishing, White, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 5th-6th, Married-spouse-absent, Handlers-cleaners, White, Female, Puerto-Rico, <=50K
 Private, 9th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Adm-clerical, Black, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, >50K
 Self-emp-not-inc, HS-grad, Never-married, Prof-specialty, White, Female, Dominican-Republic, >50K
 Local-gov, HS-grad, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Craft-repair, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Black, Male, United-States, <=50K
 ?, Bachelors, Married-spouse-absent, ?, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, El-Salvador, <=50K
 Local-gov, Some-college, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Without-pay, 7th-8th, Widowed, Farming-fishing, White, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Bachelors, Separated, Prof-specialty, Black, Male, United-States, <=50K
 Private, Bachelors, Married-spouse-absent, Exec-managerial, White, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Protective-serv, Black, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, >50K
 State-gov, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, 7th-8th, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, Mexico, <=50K
 Private, HS-grad, Never-married, Priv-house-serv, White, Female, Mexico, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Local-gov, HS-grad, Separated, Protective-serv, Black, Female, United-States, <=50K
 Private, Some-college, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 State-gov, 11th, Separated, Adm-clerical, Asian-Pac-Islander, Female, India, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Local-gov, Masters, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Tech-support, White, Male, United-States, <=50K
 Local-gov, Some-college, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-voc, Divorced, Sales, White, Male, United-States, <=50K
 Self-emp-not-inc, Masters, Divorced, Sales, White, Male, United-States, >50K
 Private, Bachelors, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Male, Vietnam, <=50K
 Local-gov, HS-grad, Never-married, Transport-moving, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 7th-8th, Married-spouse-absent, Other-service, Amer-Indian-Eskimo, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Male, United-States, >50K
 Local-gov, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Local-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Female, United-States, <=50K
 Private, Assoc-voc, Separated, Other-service, White, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Prof-specialty, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Separated, Exec-managerial, Black, Female, United-States, <=50K
 Private, Assoc-voc, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Other, Female, United-States, <=50K
 Private, 9th, Never-married, Machine-op-inspct, Black, Female, Haiti, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 1st-4th, Married-spouse-absent, Machine-op-inspct, White, Female, Dominican-Republic, <=50K
 Private, 1st-4th, Divorced, Craft-repair, White, Male, Portugal, <=50K
 ?, HS-grad, Widowed, ?, White, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Handlers-cleaners, White, Female, United-States, <=50K
 State-gov, Assoc-voc, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, White, Female, United-States, <=50K
 State-gov, Assoc-voc, Divorced, Prof-specialty, White, Female, United-States, >50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Widowed, Tech-support, White, Female, United-States, <=50K
 Federal-gov, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Sales, White, Male, ?, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Prof-specialty, White, Female, United-States, >50K
 Self-emp-inc, Some-college, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-acdm, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Other-service, Black, Female, United-States, <=50K
 Local-gov, Prof-school, Divorced, Prof-specialty, Black, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, Black, Female, United-States, <=50K
 ?, 11th, Divorced, ?, White, Female, Canada, <=50K
 Private, 12th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 Self-emp-not-inc, 7th-8th, Divorced, Other-service, White, Female, United-States, <=50K
 State-gov, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Preschool, Widowed, Craft-repair, Black, Male, United-States, <=50K
 ?, HS-grad, Widowed, ?, White, Female, United-States, <=50K
 Local-gov, Bachelors, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Tech-support, White, Female, Germany, <=50K
 Private, 11th, Divorced, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, Black, Male, United-States, <=50K
 ?, Assoc-voc, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Female, United-States, <=50K
 Private, Some-college, Widowed, Exec-managerial, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Local-gov, Masters, Separated, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Male, United-States, <=50K
 State-gov, Some-college, Divorced, Adm-clerical, Black, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Exec-managerial, White, Female, Columbia, <=50K
 Private, Some-college, Separated, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Machine-op-inspct, White, Female, United-States, <=50K
 Local-gov, Bachelors, Widowed, Prof-specialty, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Sales, White, Female, United-States, <=50K
 Private, 11th, Divorced, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, White, Female, United-States, <=50K
 Self-emp-inc, Some-college, Widowed, Exec-managerial, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Black, Female, United-States, <=50K
 State-gov, Some-college, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Divorced, Other-service, Other, Female, United-States, <=50K
 Federal-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-spouse-absent, Other-service, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 State-gov, Bachelors, Never-married, Prof-specialty, Asian-Pac-Islander, Female, United-States, >50K
 Private, HS-grad, Separated, Sales, Black, Female, United-States, <=50K
 Private, 12th, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Sales, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Widowed, Sales, White, Male, United-States, >50K
 Private, 7th-8th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Bachelors, Separated, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, 11th, Divorced, Exec-managerial, White, Female, United-States, >50K
 Private, HS-grad, Divorced, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Widowed, Craft-repair, White, Female, United-States, <=50K
 Local-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Separated, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
