 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Protective-serv, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Asian-Pac-Islander, Male, Philippines, <=50K
 Federal-gov, HS-grad, Never-married, Armed-Forces, White, Male, United-States, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Farming-fishing, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Married-spouse-absent, Adm-clerical, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 5th-6th, Never-married, Other-service, White, Male, El-Salvador, <=50K
 Private, Some-college, Never-married, Protective-serv, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Doctorate, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 ?, 12th, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 ?, 11th, Married-spouse-absent, ?, Asian-Pac-Islander, Female, South, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Self-emp-not-inc, 11th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, 12th, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Protective-serv, White, Male, United-States, <=50K
 State-gov, 11th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, Poland, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Exec-managerial, White, Female, United-States, >50K
 State-gov, HS-grad, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, 12th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, Black, Male, Haiti, <=50K
 Private, Assoc-voc, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 12th, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Other-service, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, 10th, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Tech-support, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 State-gov, Doctorate, Divorced, Prof-specialty, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Sales, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Separated, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Sales, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 ?, Assoc-acdm, Married-civ-spouse, ?, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Black, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Transport-moving, White, Male, United-States, <=50K
 ?, HS-grad, Never-married, ?, White, Male, United-States, <=50K
 State-gov, Assoc-acdm, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Asian-Pac-Islander, Male, Taiwan, <=50K
 Private, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Asian-Pac-Islander, Male, India, <=50K
 ?, HS-grad, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Federal-gov, Some-college, Never-married, Exec-managerial, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, Dominican-Republic, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Self-emp-inc, Some-college, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, Black, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, 5th-6th, Never-married, Adm-clerical, White, Female, Mexico, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Black, Female, United-States, <=50K
 Private, Bachelors, Divorced, Tech-support, White, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Separated, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Divorced, Sales, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Asian-Pac-Islander, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, Assoc-voc, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Local-gov, 9th, Never-married, Other-service, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, White, Female, United-States, <=50K
 State-gov, HS-grad, Divorced, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Sales, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 12th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 ?, Bachelors, Never-married, ?, Black, Female, Jamaica, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, 10th, Separated, ?, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Asian-Pac-Islander, Male, ?, <=50K
 Self-emp-not-inc, HS-grad, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Exec-managerial, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Separated, Craft-repair, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, 11th, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Masters, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 10th, Never-married, Machine-op-inspct, Black, Male, United-States, <=50K
 ?, 10th, Never-married, ?, White, Female, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, White, Male, United-States, <=50K
 Private, 11th, Widowed, Sales, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 State-gov, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, Puerto-Rico, <=50K
 Private, 9th, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 ?, Bachelors, Never-married, ?, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Other-service, White, Male, Greece, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, 11th, Married-civ-spouse, ?, Black, Female, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Male, United-States, <=50K
 Local-gov, 10th, Divorced, Handlers-cleaners, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Assoc-acdm, Divorced, Other-service, White, Female, United-States, <=50K
 Private, 11th, Married-civ-spouse, Sales, Black, Male, United-States, <=50K
 Self-emp-not-inc, 10th, Never-married, Adm-clerical, White, Male, United-States, <=50K
 Private, Bachelors, Married-spouse-absent, Prof-specialty, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, 12th, Never-married, Adm-clerical, White, Female, Mexico, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, White, Male, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, Black, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 ?, 12th, Never-married, ?, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Protective-serv, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, White, Male, United-States, <=50K
 Private, 5th-6th, Never-married, Priv-house-serv, White, Female, El-Salvador, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Masters, Divorced, Prof-specialty, White, Female, United-States, <=50K
 Private, 11th, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Black, Female, United-States, <=50K
 Private, HS-grad, Separated, Protective-serv, White, Female, United-States, <=50K
 Private, 12th, Separated, Adm-clerical, Black, Female, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Local-gov, Bachelors, Never-married, Prof-specialty, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, 7th-8th, Never-married, Craft-repair, Black, Male, United-States, <=50K
 Private, Bachelors, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Exec-managerial, White, Male, United-States, <=50K
 Private, 12th, Never-married, Machine-op-inspct, White, Male, Mexico, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 Private, Assoc-acdm, Widowed, Other-service, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 ?, 11th, Never-married, ?, White, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Local-gov, Assoc-acdm, Never-married, Adm-clerical, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, Asian-Pac-Islander, Male, China, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, 10th, Never-married, Transport-moving, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, 9th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 ?, Some-college, Separated, ?, White, Male, United-States, <=50K
 ?, 10th, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Black, Male, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Sales, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Exec-managerial, Asian-Pac-Islander, Male, Philippines, <=50K
 Private, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Tech-support, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Male, United-States, <=50K
 Private, 10th, Separated, Other-service, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-voc, Divorced, Craft-repair, White, Male, United-States, <=50K
 Private, 11th, Never-married, Transport-moving, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Female, United-States, <=50K
 Private, 11th, Never-married, Craft-repair, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Protective-serv, Black, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Black, Female, ?, <=50K
 Local-gov, 12th, Never-married, Protective-serv, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female, United-States, <=50K
 Private, Some-college, Never-married, Other-service, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Black, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Male, United-States, <=50K
 Private, 10th, Never-married, Craft-repair, Black, Female, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, White, Male, United-States, <=50K
 Self-emp-inc, Some-college, Never-married, Adm-clerical, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Sales, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Separated, Other-service, White, Female, Cuba, <=50K
 Private, 1st-4th, Never-married, Sales, White, Male, United-States, <=50K
